EcoDistrict,Province,Acid_Soil,Poor_Soil,Percentage
808,SK,0,-1,0.02593502
808,SK,0,0,0.60574006
807,SK,-1,-1,0.77275601
807,SK,-1,0,0.10986033
807,SK,0,-1,0.11003664
807,SK,0,0,0.00734702
806,AB,-1,-1,0.77547621
806,AB,-1,0,0.22441629
806,AB,0,-1,0.0001075
806,AB,0,0,0
805,AB,-1,-1,0.75113405
805,AB,-1,0,0
805,AB,0,-1,0
805,AB,0,0,0.24886595
805,SK,-1,-1,0.62258334
805,SK,-1,0,0.22484486
805,SK,0,-1,0.04124007
805,SK,0,0,0.11133173
804,AB,-1,-1,0.75350464
804,AB,-1,0,0.24328342
804,AB,0,-1,0.00321194
804,AB,0,0,0
803,SK,-1,-1,0.64258747
803,SK,-1,0,0.17668735
803,SK,0,-1,0.03418572
803,SK,0,0,0.14653946
802,AB,-1,-1,0
802,AB,-1,0,1
802,AB,0,-1,0
802,AB,0,0,0
801,AB,-1,-1,0
801,AB,-1,0,1
801,AB,0,-1,0
801,AB,0,0,0
800,AB,-1,-1,0
800,AB,-1,0,0.80736551
800,AB,0,-1,0.01610771
800,AB,0,0,0.17652677
799,AB,-1,-1,0
799,AB,-1,0,1
799,AB,0,-1,0
799,AB,0,0,0
798,AB,-1,-1,0.02122062
798,AB,-1,0,0.59814717
798,AB,0,-1,0.01349274
798,AB,0,0,0.36713947
797,AB,-1,-1,0.16064572
797,AB,-1,0,0.80131085
797,AB,0,-1,0.03804343
797,AB,0,0,0
796,SK,-1,-1,0.92367297
796,SK,-1,0,0.02843549
796,SK,0,-1,0.04789153
796,SK,0,0,0
795,SK,-1,-1,0.94196609
795,SK,-1,0,0.05803391
795,SK,0,-1,0
795,SK,0,0,0
794,SK,-1,-1,0.74654878
794,SK,-1,0,0.15975785
794,SK,0,-1,0.09369336
794,SK,0,0,0
793,AB,-1,-1,0.68384857
793,AB,-1,0,0.18273492
793,AB,0,-1,0.07284568
793,AB,0,0,0.06057084
792,SK,-1,-1,0.10355617
792,SK,-1,0,0.11550755
792,SK,0,-1,0.01253098
792,SK,0,0,0.7684053
791,AB,-1,-1,0.5410057
791,AB,-1,0,0.01896308
791,AB,0,-1,0.05946534
791,AB,0,0,0.38056588
790,AB,-1,-1,0.71152832
790,AB,-1,0,0.00219954
790,AB,0,-1,0.28627214
790,AB,0,0,0
789,SK,-1,-1,0.78916116
789,SK,-1,0,0.19268204
789,SK,0,-1,0.0181568
789,SK,0,0,0
788,AB,-1,-1,0.61853072
788,AB,-1,0,0.22537592
788,AB,0,-1,0
788,AB,0,0,0.15609337
787,AB,-1,-1,0.26591715
787,AB,-1,0,0.09556566
787,AB,0,-1,0.01734041
787,AB,0,0,0.62117678
786,AB,-1,-1,0.12429497
786,AB,-1,0,0.77433237
786,AB,0,-1,0.05127609
786,AB,0,0,0.05009658
785,SK,-1,-1,0.76975556
785,SK,-1,0,0.02885355
785,SK,0,-1,0.08717164
785,SK,0,0,0.11421924
784,SK,-1,-1,0.64387352
784,SK,-1,0,0.32994342
784,SK,0,-1,0.02618306
784,SK,0,0,0
783,SK,-1,-1,0.93037366
783,SK,-1,0,0.0016124
783,SK,0,-1,0.06801394
783,SK,0,0,0
782,SK,-1,-1,0.84820599
782,SK,-1,0,0.08862577
782,SK,0,-1,0.06316823
782,SK,0,0,0
781,AB,-1,-1,0.26937248
781,AB,-1,0,0.72880451
781,AB,0,-1,0.00182302
781,AB,0,0,0
780,SK,-1,-1,0.07027531
780,SK,-1,0,0.36243181
780,SK,0,-1,0.01608329
780,SK,0,0,0.55120959
779,AB,-1,-1,0.18817167
779,AB,-1,0,0.81182833
779,AB,0,-1,0
779,AB,0,0,0
778,SK,-1,-1,1
778,SK,-1,0,0
778,SK,0,-1,0
778,SK,0,0,0
777,AB,-1,-1,0.88040504
777,AB,-1,0,0.11959496
777,AB,0,-1,0
777,AB,0,0,0
776,SK,-1,-1,0.95265911
776,SK,-1,0,0
776,SK,0,-1,0.04734089
776,SK,0,0,0
775,SK,-1,-1,0.7624135
775,SK,-1,0,0.22907037
775,SK,0,-1,0.00851613
775,SK,0,0,0
774,SK,-1,-1,0.84585607
774,SK,-1,0,0.07586109
774,SK,0,-1,0.03535464
774,SK,0,0,0.0429282
773,SK,-1,-1,0.6506642
773,SK,-1,0,0.23488782
