Inv_Year,Province_Sale_ID,Fert_ID,Fert_Name,Fraction
2008,SK,2,Urea ammonium nitrate,0.14372487
2008,SK,3,Anhydrous ammonia,0.274759746
2008,SK,4,Other,0.131576696
2009,AB,1,Urea,0.643288269
2009,AB,2,Urea ammonium nitrate,0.022638813
2009,AB,3,Anhydrous ammonia,0.203523682
2009,AB,4,Other,0.130549236
2009,Atlantic,1,Urea,0.15984556
2009,Atlantic,2,Urea ammonium nitrate,0
2009,Atlantic,3,Anhydrous ammonia,0.031660232
2009,Atlantic,4,Other,0.808494208
2009,BC,1,Urea,1
2009,BC,2,Urea ammonium nitrate,0
2009,BC,3,Anhydrous ammonia,0
2009,BC,4,Other,0
2009,MB,1,Urea,0.353444643
2009,MB,2,Urea ammonium nitrate,0.161582104
2009,MB,3,Anhydrous ammonia,0.361549684
2009,MB,4,Other,0.123423569
2009,ON,1,Urea,0.460023233
2009,ON,2,Urea ammonium nitrate,0.360624274
2009,ON,3,Anhydrous ammonia,0.095257336
2009,ON,4,Other,0.084095156
2009,QC,1,Urea,0.340460526
2009,QC,2,Urea ammonium nitrate,0.22002924
2009,QC,3,Anhydrous ammonia,0.05244883
2009,QC,4,Other,0.387061404
2009,SK,1,Urea,0.469444952
2009,SK,2,Urea ammonium nitrate,0.132638762
2009,SK,3,Anhydrous ammonia,0.264790105
2009,SK,4,Other,0.13312618
2010,AB,1,Urea,0.607238606
2010,AB,2,Urea ammonium nitrate,0.02688211
2010,AB,3,Anhydrous ammonia,0.22726614
2010,AB,4,Other,0.138613144
2010,Atlantic,1,Urea,0.143493761
2010,Atlantic,2,Urea ammonium nitrate,0
2010,Atlantic,3,Anhydrous ammonia,0
2010,Atlantic,4,Other,0.856506239
2010,BC,1,Urea,0.618333333
2010,BC,2,Urea ammonium nitrate,0
2010,BC,3,Anhydrous ammonia,0.323333333
2010,BC,4,Other,0.058333333
2010,MB,1,Urea,0.298615877
2010,MB,2,Urea ammonium nitrate,0.151338367
2010,MB,3,Anhydrous ammonia,0.422100206
2010,MB,4,Other,0.12794555
2010,ON,1,Urea,0.346074766
2010,ON,2,Urea ammonium nitrate,0.306168224
2010,ON,3,Anhydrous ammonia,0.235327103
2010,ON,4,Other,0.112429907
2010,QC,1,Urea,0.373800666
2010,QC,2,Urea ammonium nitrate,0.183669473
2010,QC,3,Anhydrous ammonia,0.056197376
2010,QC,4,Other,0.386332485
2010,SK,1,Urea,0.46427907
2010,SK,2,Urea ammonium nitrate,0.152372093
2010,SK,3,Anhydrous ammonia,0.240186047
2010,SK,4,Other,0.143162791
2011,AB,1,Urea,0.616133496
2011,AB,2,Urea ammonium nitrate,0.029173789
2011,AB,3,Anhydrous ammonia,0.216263736
2011,AB,4,Other,0.138428978
2011,Atlantic,1,Urea,0.147571036
2011,Atlantic,2,Urea ammonium nitrate,0
2011,Atlantic,3,Anhydrous ammonia,0
2011,Atlantic,4,Other,0.852428964
2011,BC,1,Urea,0.869674185
2011,BC,2,Urea ammonium nitrate,0
2011,BC,3,Anhydrous ammonia,0
2011,BC,4,Other,0.130325815
2011,MB,1,Urea,0.358005554
2011,MB,2,Urea ammonium nitrate,0.167280243
2011,MB,3,Anhydrous ammonia,0.333656268
2011,MB,4,Other,0.141057935
2011,ON,1,Urea,0.371037736
2011,ON,2,Urea ammonium nitrate,0.37245283
2011,ON,3,Anhydrous ammonia,0.091886792
2011,ON,4,Other,0.164622642
2011,QC,1,Urea,0.367801635
2011,QC,2,Urea ammonium nitrate,0.181115803
2011,QC,3,Anhydrous ammonia,0.04420088
2011,QC,4,Other,0.406881682
2011,SK,1,Urea,0.467207977
2011,SK,2,Urea ammonium nitrate,0.142393162
2011,SK,3,Anhydrous ammonia,0.25517094
2011,SK,4,Other,0.13522792
2012,AB,1,Urea,0.620541311
2012,AB,2,Urea ammonium nitrate,0.025527066
2012,AB,3,Anhydrous ammonia,0.21025641
2012,AB,4,Other,0.143675214
2012,Atlantic,1,Urea,0.102222222
2012,Atlantic,2,Urea ammonium nitrate,0
2012,Atlantic,3,Anhydrous ammonia,0
2012,Atlantic,4,Other,0.897777778
2012,BC,1,Urea,0.92
2012,BC,2,Urea ammonium nitrate,0
2012,BC,3,Anhydrous ammonia,0
2012,BC,4,Other,0.08
2012,MB,1,Urea,0.333780488
2012,MB,2,Urea ammonium nitrate,0.16902439
2012,MB,3,Anhydrous ammonia,0.36
2012,MB,4,Other,0.137195122
2012,ON,1,Urea,0.427309645
2012,ON,2,Urea ammonium nitrate,0.28284264
2012,ON,3,Anhydrous ammonia,0.070761421
2012,ON,4,Other,0.219086294
2012,QC,1,Urea,0.372972973
2012,QC,2,Urea ammonium nitrate,0.251621622
2012,QC,3,Anhydrous ammonia,0.033243243
2012,QC,4,Other,0.342162162
2012,SK,1,Urea,0.453303471
2012,SK,2,Urea ammonium nitrate,0.145173572
